Pathway,name,value
Glutamate-Receptors,ATP2B1,1
Glutamate-Receptors,ARAP3,1
Glutamate-Receptors,PLCE1,1
Glutamate-Receptors,CNGB1,1
Glutamate-Receptors,AFDN,1
Glutamate-Receptors,GLI3,1
Glutamate-Receptors,SOX9,1
Glutamate-Receptors,ADCY10,1
Glutamate-Receptors,RRAS2,1
Glutamate-Receptors,FXYD1,1
Glutamate-Receptors,HCN4,1
Glutamate-Receptors,AMH,1
Glutamate-Receptors,MYL9,1
Glutamate-Receptors,MTNR1B,1
Glutamate-Receptors,NOS1AP,1
Glutamate-Receptors,PER1,1
Glutamate-Receptors,GNA12,1
Glutamate-Receptors,SPHK2,1
Glutamate-Receptors,GAB2,1
Glutamate-Receptors,FCER1A,1
Glutamate-Receptors,SLC29A1,1
Glutamate-Receptors,HAT1,1
Glutamate-Receptors,PKIA,1
Glutamate-Receptors,GRID2,1
Glutamate-Receptors,PPP1R17,1
Glutamate-Receptors,DAGLB,1
Glutamate-Receptors,ABHD6,1
Glutamate-Receptors,FAAH,1
Glutamate-Receptors,NAPEPLD,1
Glutamate-Receptors,PDE1A,1
Glutamate-Receptors,CAMK1D,1
Glutamate-Receptors,TPCN2,1
Glutamate-Receptors,CD38,1
Glutamate-Receptors,PLCZ1,1
Glutamate-Receptors,ORAI2,1
Glutamate-Receptors,TNNC2,1
Glutamate-Receptors,CASQ1,1
Glutamate-Receptors,MCOLN2,1
Glutamate-Receptors,APBB1IP,1
Glutamate-Receptors,EVL,1
Glutamate-Receptors,DOCK4,1
Glutamate-Receptors,SIPA1L1,1
Glutamate-Receptors,SIPA1,1
Glutamate-Receptors,RAP1GAP,1
Glutamate-Receptors,MAGI3,1
Glutamate-Receptors,RAPGEF6,1
Glutamate-Receptors,PRKD3,1
Glutamate-Receptors,KRIT1,1
Glutamate-Receptors,FARP2,1
Glutamate-Receptors,MRAS,1
Glutamate-Receptors,RAPGEF5,1
Glutamate-Receptors,SIPA1L2,1
Glutamate-Receptors,SIPA1L3,1
Glutamate-Receptors,CTNND1,1
Glutamate-Receptors,SKAP1,1
Glutamate-Receptors,RGS14,1
Glutamate-Receptors,RGL1,1
Glutamate-Receptors,RGL2,1
Glutamate-Receptors,RIN1,1
Glutamate-Receptors,FOXO4,1
Glutamate-Receptors,NF1,1
Glutamate-Receptors,HTR7,1
Glutamate-Receptors,REL,1
Glutamate-Receptors,BRAP,1
Glutamate-Receptors,SHOC2,1
Glutamate-Receptors,RALGAPA1,1
Glutamate-Receptors,TRPM5,1
Glutamate-Receptors,SCN2A,1
Glutamate-Receptors,PKD1L3,1
Glutamate-Receptors,CALHM1,1
Glutamate-Receptors,SCNN1A,1
Glutamate-Receptors,TAS2R39,1
Glutamate-Receptors,TAS1R1,1
Glutamate-Receptors,P2RY4,1
Glutamate-Receptors,KCNK5,1
Glutamate-Receptors,ASIC2,1
Glutamate-Receptors,PKD2L1,1
Glutamate-Receptors,P2RY1,1
Glutamate-Receptors,P2RX3,1
Glutamate-Receptors,ADCY6,1
Glutamate-Receptors,GNB3,1
Glutamate-Receptors,CSNK1D,1
Glutamate-Receptors,GJA1,1
Glutamate-Receptors,MAP3K2,1
Glutamate-Receptors,HTR2A,1
Glutamate-Receptors,ADRB1,1
Glutamate-Receptors,FCGR1A,1
Glutamate-Receptors,ELANE,1
Glutamate-Receptors,C4A,1
Glutamate-Receptors,C2,1
Glutamate-Receptors,C1S,1
Glutamate-Receptors,C1R,1
Glutamate-Receptors,C6,1
Glutamate-Receptors,C7,1
Glutamate-Receptors,CD80,1
Glutamate-Receptors,TRIM21,1
Glutamate-Receptors,SNRPB,1
Glutamate-Receptors,SNRPD1,1
Glutamate-Receptors,SSB,1
Glutamate-Receptors,GRIN2B,1
Glutamate-Receptors,GPER1,1
Glutamate-Receptors,FKBP4,1
Glutamate-Receptors,OPRM1,1
Glutamate-Receptors,EBAG9,1
Glutamate-Receptors,TFF1,1
Glutamate-Receptors,EWSR1,1
Glutamate-Receptors,FLI1,1
Glutamate-Receptors,ETV1,1
Glutamate-Receptors,ETV4,1
Glutamate-Receptors,FEV,1
Glutamate-Receptors,ATF1,1
Glutamate-Receptors,WT1,1
Glutamate-Receptors,NR4A3,1
Glutamate-Receptors,PAX3,1
Glutamate-Receptors,SS18L1,1
Glutamate-Receptors,SSX1,1
Glutamate-Receptors,ASPSCR1,1
Glutamate-Receptors,ARNT2,1
Glutamate-Receptors,BAIAP3,1
Glutamate-Receptors,TSPAN7,1
Glutamate-Receptors,MLF1,1
Glutamate-Receptors,NUPR1,1
Glutamate-Receptors,NFKBIZ,1
Glutamate-Receptors,ELK4,1
Glutamate-Receptors,DDX5,1
Glutamate-Receptors,RUNX1T1,1
Glutamate-Receptors,ZBTB16,1
Glutamate-Receptors,CEBPE,1
Glutamate-Receptors,BCL2A1,1
Glutamate-Receptors,PER2,1
Glutamate-Receptors,ETV6,1
Glutamate-Receptors,WNT16,1
Glutamate-Receptors,KMT2A,1
Glutamate-Receptors,AFF1,1
Glutamate-Receptors,LMO2,1
Glutamate-Receptors,RUNX2,1
Glutamate-Receptors,HOXA9,1
Glutamate-Receptors,HOXA10,1
Glutamate-Receptors,PBX3,1
Glutamate-Receptors,MEF2C,1
Glutamate-Receptors,KLF3,1
Glutamate-Receptors,JMJD1C,1
Glutamate-Receptors,KDM6A,1
Glutamate-Receptors,SUPT3H,1
Glutamate-Receptors,PROM1,1
Glutamate-Receptors,BMP2K,1
Glutamate-Receptors,CDK14,1
Glutamate-Receptors,MAF,1
Glutamate-Receptors,ITGB7,1
Glutamate-Receptors,PAX5,1
Glutamate-Receptors,MYCN,1
Glutamate-Receptors,CDK9,1
Glutamate-Receptors,MLLT1,1
Glutamate-Receptors,DOT1L,1
Glutamate-Receptors,IL3,1
Glutamate-Receptors,MPO,1
Glutamate-Receptors,DEFA1,1
Glutamate-Receptors,GZMB,1
Glutamate-Receptors,DUSP6,1
Glutamate-Receptors,HOXA11,1
Glutamate-Receptors,SIX1,1
Glutamate-Receptors,SIX4,1
Glutamate-Receptors,EYA1,1
Glutamate-Receptors,GRIA3,1
Glutamate-Receptors,FUT8,1
Glutamate-Receptors,TLX1,1
Glutamate-Receptors,TLX3,1
Glutamate-Receptors,BCL11B,1
Glutamate-Receptors,NSD2,1
Glutamate-Receptors,TAF15,1
Glutamate-Receptors,LDB1,1
Glutamate-Receptors,LYL1,1
Glutamate-Receptors,PTCRA,1
HMP-Shunt-Glutathione,TG,1
HMP-Shunt-Glutathione,SLC5A5,1
HMP-Shunt-Glutathione,SLC26A4,1
HMP-Shunt-Glutathione,DUOX2,1
HMP-Shunt-Glutathione,IYD,1
HMP-Shunt-Glutathione,TTF1,1
HMP-Shunt-Glutathione,TTF2,1
HMP-Shunt-Glutathione,DUOXA2,1
HMP-Shunt-Glutathione,HSP90B1,1
HMP-Shunt-Glutathione,PDIA4,1
HMP-Shunt-Glutathione,LRP2,1
HMP-Shunt-Glutathione,ASGR1,1
HMP-Shunt-Glutathione,ALB,1
HMP-Shunt-Glutathione,TTR,1
HMP-Shunt-Glutathione,SERPINA7,1
HMP-Shunt-Glutathione,CYP2B6,1
HMP-Shunt-Glutathione,CYP2J2,1
HMP-Shunt-Glutathione,CYP2C8,1
HMP-Shunt-Glutathione,ALOX15B,1
HMP-Shunt-Glutathione,ALOX12B,1
HMP-Shunt-Glutathione,ALOXE3,1
HMP-Shunt-Glutathione,CYP4F3,1
HMP-Shunt-Glutathione,ALOX12,1
HMP-Shunt-Glutathione,PTGS1,1
HMP-Shunt-Glutathione,ALOX5,1
HMP-Shunt-Glutathione,LTA4H,1
HMP-Shunt-Glutathione,LTC4S,1
HMP-Shunt-Glutathione,GGT1,1
HMP-Shunt-Glutathione,PTGIS,1
HMP-Shunt-Glutathione,PTGES3,1
HMP-Shunt-Glutathione,TBXAS1,1
HMP-Shunt-Glutathione,AKR1C3,1
HMP-Shunt-Glutathione,HPGDS,1
HMP-Shunt-Glutathione,CBR1,1
HMP-Shunt-Glutathione,PRXL2B,1
HMP-Shunt-Glutathione,CYP2C19,1
HMP-Shunt-Glutathione,CYP4F8,1
HMP-Shunt-Glutathione,PTGR2,1
ETC,TNNC1,1
ETC,TNNT2,1
ETC,ACTC1,1
ETC,SLC9A6,1
ETC,CASQ2,1
FA-Synthesis,CTSC,1
FA-Synthesis,NAPSA,1
FA-Synthesis,LGMN,1
FA-Synthesis,TPP1,1
FA-Synthesis,GBA1,1
FA-Synthesis,MANBA,1
FA-Synthesis,MAN2B1,1
FA-Synthesis,NAGA,1
FA-Synthesis,NEU1,1
FA-Synthesis,GALC,1
FA-Synthesis,NAGLU,1
FA-Synthesis,IDUA,1
FA-Synthesis,FUCA1,1
FA-Synthesis,ARSG,1
FA-Synthesis,GNS,1
FA-Synthesis,IDS,1
FA-Synthesis,SGSH,1
FA-Synthesis,GALNS,1
FA-Synthesis,LIPA,1
FA-Synthesis,PLA2G15,1
FA-Synthesis,DNASE2,1
FA-Synthesis,ACP2,1
FA-Synthesis,ASAH1,1
FA-Synthesis,AGA,1
FA-Synthesis,GNPTAB,1
FA-Synthesis,GM2A,1
FA-Synthesis,PSAP,1
FA-Synthesis,LAMP3,1
FA-Synthesis,SCARB2,1
FA-Synthesis,CTNS,1
FA-Synthesis,SLC17A5,1
FA-Synthesis,LAPTM4B,1
FA-Synthesis,ABCB9,1
FA-Synthesis,ABCA2,1
FA-Synthesis,NPC2,1
FA-Synthesis,CLN3,1
FA-Synthesis,CLN5,1
FA-Synthesis,CD164,1
FA-Synthesis,ENTPD4,1
FA-Synthesis,MFSD8,1
FA-Synthesis,HGSNAT,1
FA-Synthesis,IGF2R,1
FA-Synthesis,NAGPA,1
FA-Synthesis,AP1M2,1
FA-Synthesis,AP3S2,1
FA-Synthesis,GGA2,1
FA-Synthesis,ACP5,1
FA-Synthesis,AP4B1,1
FA-Synthesis,HYAL4,1
FA-Synthesis,SUMF1,1
FA-Synthesis,MCOLN1,1
FA-Synthesis,LITAF,1
FA-Synthesis,WDR7,1
FA-Synthesis,NCOA7,1
FA-Oxidation,GADL1,1
FA-Oxidation,SLC7A11,1
FA-Oxidation,VDAC2,1
FA-Oxidation,CP,1
FA-Oxidation,STEAP3,1
FA-Oxidation,PCBP1,1
FA-Oxidation,SLC40A1,1
FA-Oxidation,PCBP2,1
FA-Oxidation,ATG7,1
FA-Oxidation,SLC39A14,1
FA-Oxidation,NCOA4,1
FA-Oxidation,FTMT,1
FA-Oxidation,LPCAT3,1
Ketosis,IDI1,1
Ketosis,MVD,1
Ketosis,GGPS1,1
Ketosis,NUS1,1
Ketosis,PDSS1,1
