Gene,Gluconeogenesis,Glycolysis,Lactate-Shuttle,HMP-Shunt-Glutathione,TCA,Glycogenesis,Glycogenolysis,Various-Metabolites,ETC,FA-Synthesis,FA-Oxidation,Ketosis,Urea-Cycle,Glutamate-Receptors
STAT5A,"WP, BP",BP,"KEGG, BP",WP,"KEGG, BP","KEGG, BP, WP",,,BP,WP,BP,BP,BP,"BP, WP"
TNF,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP",,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP"
TRIB3,"WP, KEGG, BP","BP, WP","KEGG, BP, WP",BP,BP,"KEGG, BP, WP","KEGG, BP",BP,,"KEGG, BP","KEGG, BP",BP,BP,
WWTR1,"WP, BP",,,,BP,KEGG,,,,BP,BP,BP,,
ZMPSTE24,"WP, BP",,,,,WP,,,,,,KEGG,,
ADCYAP1,WP,WP,"KEGG, WP",,,BP,WP,,,,WP,,,"BP, KEGG, WP"
ADCYAP1R1,WP,WP,"KEGG, WP",,,BP,WP,,,,WP,,,"BP, KEGG, WP"
AQP4,"WP, BP","BP, WP","KEGG, BP, WP",,,BP,"BP, WP",,,,WP,,WP,WP
AR,"WP, BP","BP, WP","KEGG, BP, WP",WP,"KEGG, BP","BP, KEGG, WP",WP,,,,WP,,BP,WP
AVP,"WP, BP","BP, WP","BP, WP",,,"BP, WP","BP, WP",,,,"BP, WP",,,"KEGG, BP, WP"
C4A,WP,WP,WP,,,BP,WP,,,,WP,,,"BP, KEGG, WP"
CASP3,WP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP",,"KEGG, BP, WP",WP,"BP, WP",BP,"BP, KEGG, WP","KEGG, BP, WP"
CHRNA4,WP,WP,"BP, WP",,,,WP,,,,WP,,,"KEGG, BP, WP"
CHRNA7,WP,"KEGG, WP","BP, WP",KEGG,KEGG,"KEGG, WP",WP,,KEGG,,WP,,,"KEGG, BP, WP"
CREBBP,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP",BP,"KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",BP,BP,"KEGG, BP, WP"
CXCL8,WP,"KEGG, BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP",WP,BP,"KEGG, BP, WP","BP, WP","BP, WP",BP,"KEGG, BP, WP","BP, KEGG, WP"
EGR1,"WP, BP","BP, WP","KEGG, BP, WP",WP,"KEGG, BP, WP","BP, KEGG, WP","BP, WP",BP,"KEGG, BP","BP, WP",WP,WP,"BP, WP","KEGG, WP"
GABRA1,"WP, BP","BP, WP","KEGG, BP, WP",BP,,BP,"BP, WP",,,,WP,,,"KEGG, BP, WP"
GJA1,WP,WP,WP,WP,WP,"BP, WP",WP,,,WP,WP,,WP,"KEGG, BP, WP"
GRIN1,WP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP","KEGG, BP, WP",WP,,"KEGG, BP",WP,WP,,WP,"BP, KEGG, WP"
HADHA,"WP, BP","BP, WP","BP, WP",BP,"BP, WP",BP,"BP, WP",BP,BP,"KEGG, BP","BP, KEGG, WP","KEGG, BP",BP,WP
HDAC1,"WP, KEGG","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, KEGG, WP",WP,BP,"KEGG, BP",WP,WP,BP,BP,"KEGG, BP, WP"
HES1,"WP, BP","KEGG, BP, WP","KEGG, WP",WP,"KEGG, BP","KEGG, BP, WP",WP,"BP, WP",,"BP, WP",WP,WP,BP,"BP, WP"
HSPD1,WP,"KEGG, BP, WP","BP, WP",,BP,BP,WP,,BP,,WP,,BP,WP
HTR1A,WP,WP,WP,,,BP,WP,,,,WP,,,"BP, KEGG, WP"
HTR2A,WP,WP,WP,,WP,BP,WP,,,,WP,,,"BP, KEGG, WP"
IL10,"WP, KEGG","BP, WP","BP, WP",,"BP, WP","KEGG, BP, WP","KEGG, WP",,BP,WP,"BP, WP",BP,"KEGG, BP, WP","KEGG, BP, WP"
IL13,WP,"BP, WP","BP, WP",,BP,"BP, KEGG, WP",WP,,BP,WP,"BP, WP",BP,"BP, WP","BP, WP"
IL1A,WP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, WP",,"KEGG, BP, WP",BP,WP,,"KEGG, BP, WP","KEGG, WP"
IL1B,WP,"BP, KEGG, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, WP","BP, WP","KEGG, BP, WP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP"
NEUROD1,"WP, BP","BP, KEGG, WP",WP,,,BP,WP,,,,WP,,,WP
NFYA,"WP, BP","BP, WP","BP, WP",BP,"BP, WP","BP, WP","BP, WP",BP,BP,"BP, WP","BP, WP","BP, WP",BP,"KEGG, WP"
NKX2-2,"WP, BP","BP, KEGG, WP",WP,,,BP,WP,,,,WP,,,WP
NKX3-1,WP,WP,"BP, KEGG, WP",,"KEGG, BP","KEGG, BP",WP,,,,WP,,,WP
NOS1AP,WP,"BP, WP","BP, WP",,,,WP,,,,"BP, WP",BP,,"KEGG, BP, WP"
PAH,"WP, BP","BP, WP","BP, WP",BP,BP,BP,"BP, WP","BP, KEGG",BP,BP,"BP, WP",BP,BP,WP
PBX1,WP,WP,WP,,KEGG,"BP, KEGG",WP,,,WP,WP,,,"KEGG, WP"
POU5F1,WP,"BP, WP","BP, WP",WP,,"KEGG, BP, WP",WP,,,WP,WP,WP,,WP
PPARGC1B,"WP, KEGG",WP,"KEGG, WP",,"BP, WP","KEGG, BP, WP","KEGG, WP",,,"BP, KEGG, WP","KEGG, BP, WP","BP, WP",,WP
REST,WP,WP,"KEGG, WP","KEGG, BP","KEGG, BP",KEGG,WP,,"KEGG, BP",,WP,,,"BP, KEGG, WP"
RET,WP,WP,"BP, KEGG, WP",,"KEGG, BP","KEGG, BP",WP,,,,WP,,,WP
RYR2,WP,"KEGG, WP","KEGG, WP",KEGG,KEGG,KEGG,WP,,"KEGG, BP",,"KEGG, WP",,,"BP, KEGG, WP"
SLC25A4,WP,"BP, WP","KEGG, BP, WP",BP,"BP, WP","BP, WP","KEGG, WP",,"BP, WP",BP,"BP, WP",,,"KEGG, BP, WP"
SLC9A3,"WP, KEGG, BP","BP, WP","BP, KEGG, WP",,"KEGG, BP","BP, WP","BP, WP",,,,WP,,,WP
SNAP25,"WP, BP","BP, WP","BP, KEGG, WP",BP,"BP, WP","BP, WP","BP, WP",,,"BP, WP","BP, WP",BP,,"BP, WP"
SOX2,WP,WP,WP,,,"BP, KEGG, WP",WP,,,WP,WP,,,WP
SST,WP,WP,WP,,,KEGG,WP,,,,WP,,,"BP, KEGG, WP"
SSTR1,WP,WP,WP,,,KEGG,WP,,,,WP,,,"BP, KEGG, WP"
TAC1,WP,WP,WP,,,,WP,,,,"BP, WP",,,"BP, KEGG, WP"
TACR1,WP,WP,WP,,,WP,WP,,,WP,WP,,WP,"BP, KEGG, WP"
TCF3,"WP, BP","BP, WP","KEGG, WP",,,"KEGG, BP, WP",WP,,,,WP,,,"KEGG, WP"
TF,"WP, BP","KEGG, BP, WP","KEGG, BP, WP",BP,"KEGG, BP, WP","KEGG, BP, WP","BP, WP",BP,,"BP, WP","KEGG, BP, WP",BP,"BP, WP","BP, WP"
TPH2,"WP, BP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP","BP, WP","BP, WP",BP,BP,BP,"KEGG, BP, WP",BP,BP,WP
VAMP2,"WP, BP","BP, WP","BP, KEGG, WP",BP,"BP, WP","BP, WP","BP, WP",,,"BP, WP","BP, WP",,,"BP, WP"
VIPR1,WP,"BP, WP","BP, WP",,BP,BP,WP,BP,BP,,"BP, WP",BP,BP,"BP, KEGG, WP"
YWHAE,"WP, BP","KEGG, WP",WP,WP,WP,"BP, KEGG, WP","BP, WP",,,WP,WP,,,WP
YWHAQ,"WP, KEGG, BP","KEGG, WP",WP,,,"BP, KEGG, WP","KEGG, BP, WP",,,,WP,,,WP
CAB39,"WP, KEGG",KEGG,WP,,,"KEGG, BP, WP",KEGG,,,"BP, KEGG, WP","KEGG, BP, WP","BP, WP",,BP
CRTC2,"WP, KEGG",KEGG,"KEGG, WP",,KEGG,"BP, KEGG, WP",KEGG,,,"KEGG, BP, WP","KEGG, BP, WP",,,
ELAVL1,"WP, KEGG","KEGG, WP",WP,WP,WP,"KEGG, BP, WP","KEGG, WP",WP,,"BP, KEGG, WP","KEGG, BP, WP",,WP,WP
ITGAL,WP,BP,"KEGG, BP, WP",,BP,"BP, WP",,BP,BP,WP,BP,BP,BP,"KEGG, BP"
ITGB2,WP,BP,"BP, WP",WP,BP,"KEGG, BP, WP",BP,,BP,WP,BP,BP,BP,BP
NOS1,"WP, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"KEGG, BP, WP","KEGG, BP","BP, WP",BP,BP,"BP, KEGG, WP","KEGG, BP, WP"
NOS2,"WP, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","BP, WP","KEGG, BP","BP, WP","BP, KEGG, WP","KEGG, BP","KEGG, BP, WP","KEGG, BP, WP"
PFKFB1,"WP, BP, KEGG","KEGG, BP","KEGG, BP, WP",BP,"KEGG, BP","KEGG, BP, WP","KEGG, BP",BP,BP,"KEGG, BP, WP","KEGG, BP",BP,BP,
PFKFB3,"WP, BP","BP, KEGG","KEGG, BP, WP",BP,"KEGG, BP","KEGG, BP, WP",BP,BP,BP,"BP, WP","BP, WP",BP,BP,BP
ULK1,"WP, KEGG","KEGG, WP","KEGG, WP","KEGG, WP","KEGG, WP","BP, KEGG, WP",KEGG,,KEGG,"KEGG, WP",KEGG,,,"KEGG, WP"
ABCB1,"WP, BP",BP,"KEGG, BP, WP","BP, WP",BP,"KEGG, BP",BP,BP,BP,"BP, WP","BP, WP","BP, WP",BP,BP
ABCB11,"WP, BP",BP,"KEGG, BP, WP","BP, WP",BP,BP,BP,BP,BP,"BP, WP","BP, WP","BP, WP",BP,
ABCB4,"WP, BP",BP,"KEGG, BP, WP","BP, WP",BP,BP,BP,BP,BP,"BP, WP","BP, WP","BP, WP",BP,
ABCC2,"WP, BP",BP,"KEGG, BP, WP",WP,,BP,BP,BP,,WP,"BP, WP","BP, WP",,BP
ABCC3,"WP, BP",BP,"KEGG, BP, WP","BP, WP",BP,BP,BP,BP,BP,"BP, WP","BP, WP","BP, WP",BP,
ABCC4,"WP, BP","BP, WP","KEGG, BP, WP",WP,,"BP, WP","BP, WP",,,WP,WP,WP,,KEGG
AGER,WP,"KEGG, WP","KEGG, WP","KEGG, WP",KEGG,"BP, KEGG, WP",,,KEGG,WP,"KEGG, WP",WP,,"KEGG, WP"
AKAP13,WP,,WP,WP,,"BP, KEGG",,,,WP,WP,WP,,BP
ALAS1,"WP, BP","KEGG, BP","BP, WP","BP, WP","KEGG, BP",BP,BP,BP,BP,"BP, WP","BP, WP","BP, WP",BP,
ALDH3A1,"WP, KEGG, BP","BP, KEGG","KEGG, BP, WP","BP, WP","KEGG, BP","KEGG, BP","KEGG, BP","KEGG, BP",BP,"BP, WP","KEGG, BP, WP","BP, WP",BP,BP
ARNT,WP,"KEGG, BP, WP","BP, KEGG, WP",WP,"KEGG, BP, WP","KEGG, BP, WP","BP, WP",,,WP,WP,WP,,BP
BAAT,"WP, BP",BP,"KEGG, BP, WP","BP, WP","KEGG, BP",BP,BP,BP,BP,"BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,
BIRC2,WP,"KEGG, BP","KEGG, BP, WP",WP,"KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",,BP,WP,WP,WP,BP,KEGG
CBR1,"WP, BP",BP,"BP, WP","KEGG, BP, WP",BP,BP,BP,BP,BP,"BP, WP","BP, WP","BP, WP",BP,
CCL2,WP,"BP, WP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP",WP,BP,WP,WP,"BP, WP","BP, WP","KEGG, BP, WP","BP, WP"
CCL20,WP,"BP, WP","BP, WP",WP,BP,"KEGG, BP, WP",WP,BP,BP,WP,"BP, WP","BP, WP","BP, WP","BP, WP"
CDK1,"WP, BP","KEGG, BP","BP, WP",WP,BP,"BP, KEGG, WP",,,,"BP, WP","BP, WP","BP, WP",WP,"KEGG, BP, WP"
CUL1,WP,BP,"BP, WP",WP,BP,"BP, KEGG, WP","BP, WP",BP,BP,WP,"BP, WP",WP,BP,BP
CYP2C19,"WP, BP",BP,"BP, WP","KEGG, BP, WP",BP,"BP, WP",BP,BP,BP,"BP, WP","BP, WP","BP, WP",BP,
FTH1,"WP, BP",BP,"KEGG, BP, WP",WP,"BP, WP",BP,"KEGG, BP",,,WP,"KEGG, WP","BP, WP",,
G6PD,"WP, KEGG, BP","BP, KEGG, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP","BP, WP","KEGG, BP","BP, WP","KEGG, BP, WP","BP, WP",BP,WP
GCLC,"WP, BP",BP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP",BP,"KEGG, BP",BP,"BP, WP","KEGG, BP, WP","BP, WP",BP,WP
GGT1,"WP, BP",BP,"BP, WP","KEGG, BP, WP","BP, WP",BP,BP,BP,BP,"BP, WP","BP, WP","BP, WP",BP,WP
GSTP1,"WP, BP",BP,"KEGG, BP, WP","BP, WP","KEGG, BP","KEGG, BP, WP",BP,"BP, WP",BP,"BP, WP","BP, WP","BP, WP",BP,
HBEGF,WP,"BP, WP",WP,"BP, WP",WP,"BP, KEGG, WP",,,,WP,WP,WP,BP,"KEGG, BP"
HMOX1,"WP, BP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP","KEGG, BP, WP","BP, WP",BP,BP,"BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","BP, WP"
HSPA1A,WP,"BP, WP","BP, WP",WP,"KEGG, BP, WP","KEGG, BP, WP",,,"KEGG, BP",WP,"BP, WP",WP,BP,KEGG
IFNG,WP,"KEGG, BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP","BP, KEGG, WP",WP,,BP,WP,"BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP"
IL12A,WP,,WP,WP,WP,"KEGG, WP",,,,WP,WP,WP,"BP, KEGG",
JUNB,WP,BP,"BP, WP","BP, WP",BP,"KEGG, BP, WP",,BP,BP,"BP, WP","BP, WP","BP, WP",BP,BP
KEAP1,WP,,"KEGG, WP",WP,"KEGG, WP","BP, KEGG, WP",,,KEGG,WP,WP,WP,KEGG,
NCOA3,"WP, BP",BP,"KEGG, BP, WP","BP, WP","KEGG, BP","KEGG, BP, WP",BP,BP,BP,"BP, WP","BP, WP","BP, WP",BP,
NFE2L2,WP,BP,"KEGG, WP","BP, WP","KEGG, WP","KEGG, WP",,,KEGG,WP,WP,WP,KEGG,WP
NQO1,"WP, BP",BP,"KEGG, BP, WP","BP, WP","KEGG, BP","KEGG, BP, WP",BP,BP,BP,"BP, WP","BP, WP","BP, WP","KEGG, BP",
NRG1,WP,WP,WP,"BP, WP",WP,"BP, KEGG, WP",,,,"BP, WP",WP,WP,,BP
PGD,"WP, BP, KEGG","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP","BP, WP",BP,"BP, WP","BP, WP","BP, WP",BP,
PRDX1,WP,BP,"BP, WP","BP, WP","KEGG, BP","BP, WP",,,BP,WP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP",
PRDX6,"WP, BP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP",BP,BP,BP,"BP, WP","BP, WP","BP, WP",BP,
PTGS2,WP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",WP,BP,KEGG,"BP, WP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP"
SCNN1A,WP,,WP,WP,,,,,,WP,WP,WP,,"BP, KEGG"
SLC10A1,WP,BP,"KEGG, BP, WP",WP,BP,BP,,BP,,"BP, WP","BP, WP","BP, WP",,BP
SLC39A14,"WP, BP",BP,"BP, WP",WP,,BP,BP,,,WP,"KEGG, WP",WP,,
SLC5A1,"WP, BP","KEGG, BP","BP, KEGG, WP","BP, WP",BP,"KEGG, BP","KEGG, BP",BP,,WP,WP,WP,,
SLC6A1,"WP, BP",BP,"BP, KEGG, WP",WP,,BP,BP,,,WP,WP,WP,,"BP, WP"
SLC6A11,"WP, BP",BP,"BP, KEGG, WP",WP,,BP,BP,,,WP,WP,WP,,BP
SLC6A3,"WP, BP",BP,"BP, WP","KEGG, WP","KEGG, BP","KEGG, BP",BP,,"KEGG, BP",WP,WP,WP,,"KEGG, BP"
SLC7A11,"WP, BP",BP,"BP, WP","BP, WP",BP,"BP, WP",BP,BP,,"BP, WP","KEGG, BP, WP","BP, WP",BP,
SLC7A5,"WP, BP","KEGG, BP","BP, KEGG, WP","KEGG, BP, WP","KEGG, BP","KEGG, BP",BP,BP,,"BP, WP","BP, WP","BP, WP",BP,BP
SLCO1B1,"WP, BP",BP,"KEGG, BP, WP",WP,BP,BP,BP,BP,,"BP, WP","BP, WP","BP, WP",,BP
SNAI2,WP,BP,"BP, WP","BP, WP",BP,"KEGG, BP, WP",,BP,,"BP, WP","BP, WP","BP, WP",BP,
SQSTM1,WP,"KEGG, WP","KEGG, BP, WP","KEGG, WP","KEGG, WP","KEGG, BP, WP","KEGG, BP, WP",,KEGG,WP,WP,WP,"BP, KEGG","KEGG, WP"
SULT2A1,WP,,"KEGG, WP","BP, WP",BP,"BP, WP",,,,"BP, WP","BP, WP","BP, WP",,
TGFB2,WP,"BP, WP","KEGG, BP, WP","BP, WP","BP, WP","BP, WP",WP,BP,BP,"BP, WP","BP, WP","BP, WP",BP,
TGFBR2,"WP, BP",BP,"KEGG, BP, WP",WP,"KEGG, BP","KEGG, BP, WP",,,,WP,"BP, WP","BP, WP",,"KEGG, BP"
THBD,WP,BP,"BP, WP",WP,,,,,,WP,WP,WP,KEGG,
TNFAIP3,WP,"BP, WP","KEGG, BP, WP","BP, WP",BP,"KEGG, BP, WP","KEGG, BP, WP",BP,BP,"BP, WP","BP, WP","BP, WP","BP, WP",WP
GRB10,BP,"WP, BP","BP, WP",WP,WP,"KEGG, BP, WP","BP, WP",,,"BP, WP",,,,BP
LDHD,"BP, KEGG","WP, KEGG, BP","KEGG, BP, WP",,"KEGG, BP, WP",WP,WP,,BP,"KEGG, BP, WP",,,,
PGM1,"KEGG, BP","WP, BP, KEGG","KEGG, BP, WP","KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,BP,"BP, WP",BP,BP,BP,
PGM2,"KEGG, BP","WP, BP, KEGG","BP, WP","KEGG, BP","BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,BP,"BP, WP",BP,BP,BP,
PHGDH,BP,"WP, KEGG, BP","KEGG, BP, WP",BP,"BP, KEGG, WP","BP, WP","BP, WP","KEGG, BP",BP,"BP, WP",BP,BP,BP,
PSAT1,BP,"WP, BP, KEGG","KEGG, BP, WP","BP, WP","KEGG, BP, WP","BP, WP","BP, WP","KEGG, BP, WP",BP,"BP, WP",BP,BP,BP,BP
PSPH,BP,"WP, KEGG, BP","BP, WP","BP, WP","BP, KEGG, WP","BP, WP","BP, WP","BP, WP",BP,"BP, WP",BP,BP,BP,
RAPGEF5,,WP,WP,BP,WP,"BP, WP","BP, WP",,,WP,,,,"KEGG, WP"
SHMT1,BP,"WP, BP, KEGG","KEGG, BP, WP","BP, WP","KEGG, BP, WP","BP, WP","BP, WP",BP,BP,"BP, WP",BP,BP,BP,
VHL,,"WP, KEGG, BP","BP, KEGG, WP",,"KEGG, BP, WP","KEGG, BP, WP",WP,,,WP,,,,
ZEB1,BP,"WP, BP","KEGG, WP",,"BP, WP","KEGG, BP, WP",WP,,,WP,,,,KEGG
TALDO1,"BP, KEGG","WP, KEGG, BP","BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP","BP, WP",BP,"BP, WP",BP,BP,BP,
GART,BP,"WP, BP, KEGG","BP, WP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP","BP, WP",BP,"BP, WP",BP,BP,BP,"BP, WP"
PAICS,BP,"WP, BP, KEGG","BP, WP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP","BP, WP",BP,"BP, WP",BP,BP,BP,"BP, WP"
PPAT,BP,"WP, KEGG, BP","KEGG, BP, WP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP","KEGG, BP, WP",BP,"BP, WP",BP,BP,"BP, KEGG",WP
PYCR2,BP,"WP, BP","BP, WP","BP, WP","BP, WP","BP, WP",BP,"KEGG, BP, WP",BP,"BP, WP",BP,BP,"KEGG, BP",
RPIA,"BP, KEGG","WP, KEGG, BP","BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP","BP, WP",BP,"BP, WP",BP,BP,BP,
SDHB,BP,"WP, BP","BP, WP","BP, WP","BP, KEGG, WP","BP, WP",BP,"BP, WP","KEGG, BP, WP","BP, WP",BP,BP,BP,BP
SLC16A3,BP,"WP, KEGG, BP","BP, KEGG, WP","KEGG, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"BP, WP",BP,"BP, WP",BP,BP,,BP
SLC1A5,BP,"WP, KEGG, BP","BP, KEGG, WP","KEGG, WP","KEGG, WP","KEGG, BP, WP",BP,WP,,WP,"BP, WP",BP,,BP
TKT,"BP, KEGG","WP, KEGG, BP","BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP","BP, WP",BP,"BP, WP",BP,BP,BP,
BCL2A1,,"WP, BP","BP, WP",BP,"BP, WP","BP, WP",,,BP,,,,BP,KEGG
BID,,"WP, KEGG, BP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",,"KEGG, BP, WP",WP,WP,,"BP, WP","KEGG, BP, WP"
BIRC5,,"WP, BP","KEGG, BP, WP",WP,"KEGG, BP, WP","KEGG, BP, WP",,,BP,WP,,,BP,
BNIP3,KEGG,"WP, BP, KEGG","BP, WP",,"BP, WP","KEGG, BP, WP","KEGG, BP",,BP,,,,BP,KEGG
EDN1,,"WP, KEGG, BP","KEGG, BP, WP",BP,"KEGG, BP, WP","BP, KEGG, WP",BP,BP,,BP,BP,BP,"KEGG, BP, WP","KEGG, BP"
IGFBP3,BP,"WP, BP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP",,,,"BP, WP",BP,,BP,KEGG
AGL,BP,"WP, KEGG, BP",BP,BP,BP,"KEGG, BP, WP","KEGG, BP, WP",BP,BP,BP,BP,BP,BP,
GBE1,BP,"WP, KEGG, BP",BP,BP,BP,"BP, KEGG, WP","KEGG, BP, WP",BP,BP,BP,BP,BP,BP,
GYG1,BP,"WP, KEGG, BP","BP, WP",BP,BP,"KEGG, BP, WP","KEGG, BP, WP",BP,BP,BP,BP,BP,BP,
PHKA1,"KEGG, BP","WP, KEGG, BP","KEGG, BP",BP,"KEGG, BP","KEGG, BP, WP","BP, KEGG, WP",BP,BP,"KEGG, BP","KEGG, BP",BP,BP,"KEGG, BP"
PYGB,"KEGG, BP","WP, KEGG, BP","KEGG, BP",BP,"KEGG, BP","KEGG, BP, WP","BP, KEGG, WP",BP,,"KEGG, BP, WP","KEGG, WP",,WP,WP
UGP2,BP,"WP, KEGG, BP",BP,"KEGG, BP",BP,"KEGG, BP, WP","KEGG, BP, WP","BP, WP",BP,BP,BP,BP,BP,
PGM3,,"WP, BP, KEGG",,,BP,"KEGG, BP, WP","KEGG, BP, WP",,BP,,,,,
UGDH,BP,"WP, KEGG, BP",BP,"KEGG, BP",BP,"BP, KEGG, WP","KEGG, BP, WP",BP,BP,BP,BP,BP,BP,
BTK,,"WP, BP",,,WP,"KEGG, BP, WP",,,,WP,,,BP,
CFL1,BP,"WP, BP","BP, WP",WP,WP,"KEGG, BP, WP",,,,WP,,,,WP
EIF2AK3,,"WP, KEGG, BP","BP, WP","KEGG, WP","KEGG, BP, WP","KEGG, BP, WP",,,"KEGG, BP, WP",WP,BP,,,"KEGG, BP, WP"
HDAC6,,"WP, KEGG",,KEGG,"KEGG, WP","BP, WP",WP,,KEGG,WP,,,,"KEGG, BP"
LIMK1,BP,"WP, BP",WP,WP,WP,"KEGG, BP, WP",,,,WP,,,,
PCNA,,"WP, BP","BP, WP","BP, WP",WP,"BP, KEGG, WP",,,,WP,BP,BP,,BP
PRKG1,,"WP, BP","BP, WP",WP,"KEGG, WP","BP, WP",,,KEGG,WP,"KEGG, WP",,,"KEGG, BP"
STX1A,,"WP, BP","BP, KEGG, WP","KEGG, BP","KEGG, BP, WP","KEGG, BP",,,KEGG,"BP, WP",BP,,,"KEGG, BP, WP"
ADAM10,,"WP, KEGG, BP","BP, WP",WP,"KEGG, BP, WP","BP, KEGG, WP",,,"KEGG, BP",WP,BP,,,"KEGG, BP, WP"
ALB,BP,"WP, BP","BP, WP","KEGG, BP, WP","BP, WP","BP, WP",BP,BP,BP,"BP, WP",BP,BP,BP,
AMOT,,WP,WP,WP,WP,"BP, KEGG, WP",,,,WP,,,,BP
ARF6,BP,"WP, BP, KEGG","BP, WP",WP,WP,"KEGG, BP, WP","BP, WP",,,"BP, WP","BP, WP",BP,WP,"KEGG, BP, WP"
ATF6,,"WP, KEGG, BP","BP, WP","KEGG, WP","KEGG, BP, WP","KEGG, BP, WP",,,"KEGG, BP",WP,BP,WP,,"KEGG, BP, WP"
ATP6V1E1,BP,"WP, BP","BP, WP","BP, WP","KEGG, BP, WP","BP, WP",BP,BP,"KEGG, BP","BP, WP",BP,BP,BP,BP
BCAR1,,"WP, KEGG, BP","BP, WP",WP,WP,"BP, KEGG, WP",,,,WP,,,,"KEGG, BP"
CALR,,WP,"KEGG, BP, WP",WP,"BP, WP","BP, KEGG, WP",,,BP,WP,BP,,,
CAMKK2,"KEGG, BP","WP, KEGG","KEGG, BP, WP",WP,"BP, WP","KEGG, BP, WP","KEGG, BP",BP,,"KEGG, BP, WP","KEGG, BP, WP",,,KEGG
CAPN2,,"WP, BP",WP,WP,"BP, WP","KEGG, BP, WP",,,BP,WP,,,BP,"BP, WP"
CAV1,BP,"WP, BP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,BP,"KEGG, BP","BP, WP",BP,BP,"KEGG, BP",KEGG
CDH5,,"WP, BP","BP, WP","BP, WP","BP, WP","BP, WP",,BP,,"BP, WP",BP,BP,"KEGG, BP",
CTNNA1,BP,"WP, BP","KEGG, BP, WP",WP,"KEGG, BP, WP","KEGG, BP, WP",,,,WP,BP,BP,,BP
CTNND1,BP,"WP, BP",WP,WP,"BP, WP","BP, WP",,,,WP,,,,"KEGG, BP"
CYBB,,"WP, BP, KEGG","KEGG, BP, WP","KEGG, WP","KEGG, BP, WP","KEGG, BP, WP",KEGG,,"KEGG, BP",WP,"KEGG, BP, WP",,BP,"KEGG, WP"
CYCS,BP,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP",BP,"KEGG, BP, WP","BP, WP","BP, WP",BP,"BP, WP","KEGG, BP, WP"
