Gene,Gluconeogenesis,Glycolysis,Lactate-Shuttle,HMP-Shunt-Glutathione,TCA,Glycogenesis,Glycogenolysis,Various-Metabolites,ETC,FA-Synthesis,FA-Oxidation,Ketosis,Urea-Cycle,Glutamate-Receptors
LPL,"WP, KEGG, BP","KEGG, BP, WP","BP, WP",BP,"KEGG, BP, WP","KEGG, BP, WP","BP, WP",BP,"KEGG, BP","BP, WP","BP, KEGG, WP","KEGG, BP, WP",BP,"KEGG, BP, WP"
MAP2K1,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP",BP,KEGG,"KEGG, BP, WP","BP, WP",BP,"BP, WP","KEGG, BP, WP"
MAP2K3,"WP, BP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, KEGG, WP","BP, WP",,KEGG,"BP, WP","KEGG, WP",,,"KEGG, BP"
MAP2K4,"WP, BP","BP, WP","KEGG, BP, WP",WP,"BP, WP","BP, WP","BP, WP",,,"BP, WP",,,BP,"BP, WP"
MAP2K5,"WP, BP","BP, WP","BP, WP",,BP,"BP, KEGG, WP","BP, WP",,,"BP, WP",,,KEGG,"KEGG, BP, WP"
MAP2K6,"WP, BP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, KEGG, WP","BP, WP",,"KEGG, BP","BP, WP",,,"KEGG, BP","KEGG, BP, WP"
MAP2K7,"WP, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, WP","KEGG, BP, WP","BP, KEGG, WP","BP, WP",,KEGG,"BP, WP",WP,,"KEGG, BP, WP","KEGG, BP, WP"
MAP3K1,"WP, BP","BP, WP","KEGG, BP, WP",,BP,"KEGG, BP, WP","BP, WP",,,"BP, WP",,,BP,WP
MAP3K10,"WP, BP","BP, WP","KEGG, BP, WP",KEGG,"BP, KEGG","KEGG, BP, WP","BP, WP",,KEGG,"BP, WP",,,BP,KEGG
MAP3K11,"WP, BP","KEGG, BP, WP","BP, WP",,"BP, KEGG, WP","KEGG, BP, WP","BP, WP",,"KEGG, WP","BP, WP",,,BP,BP
MAP3K14,"WP, BP","BP, WP","KEGG, BP, WP",,BP,"BP, KEGG, WP","BP, WP",,BP,"BP, WP",BP,,BP,
