Term,ID,Source_Sheet,Source_DB,Gene
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,HK1
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,HK1
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,HK1
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,HK1
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,HK2
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,HK2
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,HK2
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,HK2
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,HK2
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,HK2
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,HK2
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,HK3
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,HK3
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,HK3
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,HK3
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,HK3
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,HK3
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,HK3
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,LDHA
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,LDHA
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,LDHA
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,LDHA
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,LDHA
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,LDHA
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,LDHA
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,LDHAL6B
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,LDHAL6B
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,LDHAL6B
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,LDHAL6B
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,LDHAL6B
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,LDHAL6B
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,LDHAL6B
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,LDHB
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,LDHB
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,LDHB
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,LDHB
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,LDHB
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,LDHB
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,LDHB
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,LDHC
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,LDHC
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,LDHC
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,LDHC
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,LDHC
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,LDHC
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,LDHC
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,MDH1
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,MDH1
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,MDH1
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,MDH1
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,MDH1
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,MDH1
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,MDH1
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,MDH2
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,MDH2
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,MDH2
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,MDH2
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,MDH2
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,MDH2
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,MDH2
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,MPC1
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,MPC1
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,MPC1
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,MPC1
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,MPC1
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,MPC1
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,MPC1
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,MPC2
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,MPC2
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,MPC2
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,MPC2
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,MPC2
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,MPC2
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,MPC2
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,PC
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,PC
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,PC
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,PC
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,PC
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,PC
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,PC
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,PCK1
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,PCK1
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,PCK1
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,PCK1
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,PCK1
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,PCK1
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,PCK1
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,PDHA1
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,PDHA1
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,PDHA1
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,PDHA1
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,PDHA1
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,PDHA1
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,PDHA1
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,PFKL
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,PFKL
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,PFKL
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,PFKL
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,PFKL
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,PFKL
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,PFKL
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,PFKM
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,PFKM
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,PFKM
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,PFKM
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,PFKM
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,PFKM
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,PFKM
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,PFKP
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,PFKP
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,PFKP
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,PFKP
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,PFKP
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,PFKP
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,PFKP
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,PGAM1
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,PGAM1
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,PGAM1
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,PGAM1
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,PGAM1
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,PGAM1
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,PGAM1
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,PGAM2
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,PGAM2
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,PGAM2
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,PGAM2
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,PGAM2
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,PGAM2
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,PGAM2
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,PGK1
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,PGK1
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,PGK1
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,PGK1
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,PGK1
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,PGK1
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,PGK1
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,PGK2
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,PGK2
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,PGK2
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,PGK2
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,PGK2
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,PGK2
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,PGK2
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,PKLR
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,PKLR
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,PKLR
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,PKLR
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,PKLR
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,PKLR
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,PKLR
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,PKM
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,PKM
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,PKM
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,PKM
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,PKM
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,PKM
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,PKM
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,SLC2A1
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,SLC2A1
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,SLC2A1
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,SLC2A1
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,SLC2A1
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,SLC2A1
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,SLC2A1
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,SLC2A2
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,SLC2A2
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,SLC2A2
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,SLC2A2
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,SLC2A2
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,SLC2A2
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,SLC2A2
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,SLC2A3
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,SLC2A3
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,SLC2A3
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,SLC2A3
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,SLC2A3
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,SLC2A3
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,SLC2A3
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,SLC2A4
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,SLC2A4
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,SLC2A4
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,SLC2A4
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,SLC2A4
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,SLC2A4
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,SLC2A4
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,SLC2A5
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,SLC2A5
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,SLC2A5
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,SLC2A5
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,SLC2A5
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,SLC2A5
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,SLC2A5
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,TPI1
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,TPI1
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,TPI1
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,TPI1
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,TPI1
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,TPI1
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,TPI1
Angiopoietin Like Protein 8 Regulatory Pathway WP3915,WP3915,Gluconeogenesis,wikipathways,ABCG5
Angiopoietin Like Protein 8 Regulatory Pathway WP3915,WP3915,Lactate-Shuttle,wikipathways,ABCG5
Angiopoietin Like Protein 8 Regulatory Pathway WP3915,WP3915,FA-Synthesis,wikipathways,ABCG5
